

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

071.519  007.154  000.154: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/plugin.vim
073.378  000.331  000.331: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/flags.vim
077.417  000.366  000.366: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/setting.vim
077.699  002.312  001.946: sourcing /home/tranha/.config/nvim/plugged/vim-glaive/plugin/commands.vim
084.415  000.167  000.167: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/function.vim
087.901  004.815  004.648: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/instant/flags.vim
089.000  000.048  000.048: sourcing /home/tranha/.config/nvim/settings/floaterm.vim
089.037  000.007  000.007: sourcing /home/tranha/.config/nvim/settings/glaive.vim
089.195  000.140  000.140: sourcing /home/tranha/.config/nvim/settings/key-mappings.vim
089.273  000.052  000.052: sourcing /home/tranha/.config/nvim/settings/nerdcommenter.vim
089.362  000.060  000.060: sourcing /home/tranha/.config/nvim/settings/nerdtree.vim
089.454  000.059  000.059: sourcing /home/tranha/.config/nvim/settings/vim-closetag.vim
089.591  000.102  000.102: sourcing /home/tranha/.config/nvim/settings/vimspector.vim
119.710  113.401  049.535: sourcing /home/tranha/.config/nvim/init.vim
119.727  000.090: sourcing vimrc file(s)
120.379  000.149  000.149: sourcing /home/tranha/.config/nvim/plugged/nerdTree/autoload/nerdtree.vim
120.978  000.365  000.365: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/path.vim
121.117  000.103  000.103: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/menu_controller.vim
121.212  000.059  000.059: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/menu_item.vim
121.322  000.076  000.076: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/key_map.vim
121.517  000.161  000.161: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/bookmark.vim
121.744  000.190  000.190: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/tree_file_node.vim
122.095  000.295  000.295: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/tree_dir_node.vim
122.254  000.127  000.127: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/opener.vim
122.447  000.161  000.161: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/creator.vim
122.511  000.034  000.034: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/flag_set.vim
122.635  000.095  000.095: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/nerdtree.vim
123.000  000.335  000.335: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/ui.vim
123.139  000.074  000.074: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/event.vim
123.328  000.140  000.140: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/notifier.vim
124.504  001.114  001.114: sourcing /home/tranha/.config/nvim/plugged/nerdTree/autoload/nerdtree/ui_glue.vim
